datetime,PLa,PLb,PLc,PLtot
2023-06-18 00:00:00,0.229074667,0.11,0.264327111,0.512742444
2023-06-18 00:15:00,0.21490303,0.11,0.28,0.517646177
2023-06-18 00:30:00,0.251764372,0.11,0.28,0.553430724
2023-06-18 00:45:00,0.21409145,0.11,0.275479749,0.512641813
2023-06-18 01:00:00,0.225883006,0.11,0.262826531,0.508933816
2023-06-18 01:15:00,0.242281115,0.11,0.301815182,0.568313244
2023-06-18 01:30:00,0.214668822,0.11,0.367645366,0.601545718
2023-06-18 01:45:00,0.253404669,0.11,0.359531651,0.630960699
2023-06-18 02:00:00,0.21556547,0.11,0.358632495,0.594983777
2023-06-18 02:15:00,0.251665296,0.11,0.37,0.643928778
2023-06-18 02:30:00,0.214528566,0.11,0.37,0.608029377
2023-06-18 02:45:00,0.25298888,0.11,0.355666818,0.629816146
2023-06-18 03:00:00,0.214531486,0.11,0.363154831,0.6013701
2023-06-18 03:15:00,0.254192928,0.11,0.37,0.646850276
2023-06-18 03:30:00,0.216133594,0.11,0.37,0.607282574
2023-06-18 03:45:00,0.215999556,0.11,0.336307239,0.570915273
2023-06-18 04:00:00,0.252345679,0.11,0.276049605,0.552811059
2023-06-18 04:15:00,0.214977892,0.11,0.28,0.519991446
2023-06-18 04:30:00,0.251163848,0.11,0.28,0.55612173
2023-06-18 04:45:00,0.215133871,0.11,0.25847591,0.494168269
2023-06-18 05:00:00,0.251460199,0.11,0.28,0.556839661
2023-06-18 05:15:00,0.215119217,0.11,0.28,0.519079485
2023-06-18 05:30:00,0.250532158,0.11,0.273670882,0.546781381
2023-06-18 05:45:00,0.214421478,0.11,0.23115971,0.468150531
2023-06-18 06:00:00,0.25148386,0.11,0.17,0.447562707
2023-06-18 06:15:00,0.211047134,0.11,0.17,0.409582324
2023-06-18 06:30:00,0.21004001,0.11,0.148404259,0.381071274
2023-06-18 06:45:00,0.24696038,0.11,0.170231143,0.446462885
2023-06-18 07:00:00,0.210170011,0.11,0.17,0.409632198
2023-06-18 07:15:00,0.246644077,0.11,0.162872427,0.435341014
2023-06-18 07:30:00,0.210049575,0.11,0.155827044,0.390053688
2023-06-18 07:45:00,0.248293954,0.11,0.17,0.445067595
2023-06-18 08:00:00,0.211958205,0.11,0.17,0.404772195
2023-06-18 08:15:00,0.247142587,0.11,0.148615126,0.416903368
2023-06-18 08:30:00,0.210022446,0.11,0.17,0.400861966
2023-06-18 08:45:00,0.24738412,0.11,0.17,0.438591876
2023-06-18 09:00:00,0.210285717,0.11,0.159035315,0.38993868
2023-06-18 09:15:00,0.246818525,0.11,0.25545202,0.529066625
2023-06-18 09:30:00,0.210049452,0.11,0.260111462,0.499839197
2023-06-18 09:45:00,0.214043614,0.11,0.254699276,0.491812456
2023-06-18 10:00:00,0.250809667,0.11,0.251850111,0.523380111
2023-06-18 10:15:00,0.212270095,0.11,0.27,0.500044786
2023-06-18 10:30:00,0.249729129,0.11,0.27,0.537515277
2023-06-18 10:45:00,0.211882403,0.11,0.245046221,0.479322237
2023-06-18 11:00:00,0.250008334,0.11,0.268649547,0.537517779
2023-06-18 11:15:00,0.21285646,0.11,0.269490128,0.500393098
2023-06-18 11:30:00,0.250142114,0.11,0.25835263,0.529201427
2023-06-18 11:45:00,0.214013133,0.11,0.148579032,0.384446012
2023-06-18 12:00:00,0.252049277,0.11,0.17,0.447302548
2023-06-18 12:15:00,0.215422269,0.11,0.17,0.410079787
2023-06-18 12:30:00,0.22198524,0.11,0.16199402,0.40705226
2023-06-18 12:45:00,0.247645824,0.11,0.156767438,0.426344133
2023-06-18 13:00:00,0.215713746,0.11,0.17,0.410576575
2023-06-18 13:15:00,0.248882322,0.11,0.17,0.44656175
2023-06-18 13:30:00,0.211036559,0.11,0.15288328,0.38877237
2023-06-18 13:45:00,0.249129676,0.11,0.215830046,0.489187787
2023-06-18 14:00:00,0.214078985,0.11,0.26,0.495709157
2023-06-18 14:15:00,0.251402624,0.11,0.232232912,0.505702478
2023-06-18 14:30:00,0.212956565,0.11,0.218995779,0.455145634
2023-06-18 14:45:00,0.250770838,0.11,0.21,0.482842487
2023-06-18 15:00:00,0.212391896,0.11,0.203462884,0.440683224
2023-06-18 15:15:00,0.211439589,0.11,0.2,0.440004667
2023-06-18 15:30:00,0.251923598,0.11,0.179153648,0.455458121
2023-06-18 15:45:00,0.212536914,0.11,0.159453154,0.396137745
2023-06-18 16:00:00,0.255631994,0.251320547,1.269364617,1.737274455
2023-06-18 16:15:00,0.232720202,0.397991155,2.369951221,2.999049524
2023-06-18 16:30:00,0.274958007,0.4,2.372526106,3.045091873
2023-06-18 16:45:00,0.231765673,0.399968442,2.377295375,3.008042092
2023-06-18 17:00:00,0.270806615,0.4,2.409422211,3.080776275
2023-06-18 17:15:00,0.224415796,0.250505665,1.038163519,1.467703288
2023-06-18 17:30:00,0.21965292,0.15,0.270590947,0.510649276
2023-06-18 17:45:00,0.256858508,0.15,0.298342981,0.574448975
2023-06-18 18:00:00,0.219866742,0.15,0.320880679,0.560102916
2023-06-18 18:15:00,0.256631332,0.114965277,0.32524373,0.608869185
2023-06-18 18:30:00,0.255686458,0.11,0.315179629,0.593358558
2023-06-18 18:45:00,0.255533421,0.11,0.31,0.586850473
2023-06-18 19:00:00,0.235028605,0.11,0.308478655,0.563229096
2023-06-18 19:15:00,0.265455333,0.11,0.309386,0.598719444
2023-06-18 19:30:00,0.225221821,0.11,0.402653297,0.6508034
2023-06-18 19:45:00,0.256072171,0.11,0.400245753,0.683402993
2023-06-18 20:00:00,0.224645521,0.11,0.401966836,0.652290252
2023-06-18 20:15:00,0.220035778,0.11,0.4,0.640809778
2023-06-18 20:30:00,0.257783012,0.110361722,0.4,0.68473593
2023-06-18 20:45:00,0.220102456,0.119843427,0.38481598,0.626806756
2023-06-18 21:00:00,0.25606137,0.12,0.309017009,0.585546544
2023-06-18 21:15:00,0.215510857,0.12,0.300629765,0.540248928
2023-06-18 21:30:00,0.254836742,0.132448701,0.440932775,0.744112942
2023-06-18 21:45:00,0.265255501,1.917561569,2.426576573,4.608560569
2023-06-18 22:00:00,0.332951778,1.87139,2.474563333,4.677911889
2023-06-18 22:15:00,0.286036285,1.873398993,2.469146752,4.628766679
2023-06-18 22:30:00,0.312985212,1.873465175,2.428268468,4.614389103
2023-06-18 22:45:00,0.315104191,1.862972582,2.433580613,4.612226075
2023-06-18 23:00:00,0.265874556,1.863988444,2.428788111,4.558615111
2023-06-18 23:15:00,0.333924783,1.861963391,1.968201326,4.164163696
2023-06-18 23:30:00,0.290760929,1.852197646,2.000407251,4.143827318
2023-06-18 23:45:00,0.32959161,1.853076479,1.993006932,4.175178754
2023-06-19 00:00:00,0.307441545,1.854141223,1.649814589,3.811245032
2023-06-19 00:15:00,0.330011002,1.845985642,1.859378098,4.035344736
2023-06-19 00:30:00,0.298302539,1.847937559,1.820876174,3.967463808
2023-06-19 00:45:00,0.330177201,1.851750453,1.667840931,3.850750686
2023-06-19 01:00:00,0.294763307,1.847273283,1.676938946,3.820641888
2023-06-19 01:15:00,0.367879465,1.871797478,1.76612509,4.006650336
2023-06-19 01:30:00,0.468337407,1.751680812,2.363428946,4.583328075
