datetime,Ia (A),Ib (A),Ic (A),Pa (kW),Pb (kW),Pc (kW),Ptot (kW),VAa (V),VAb (V),VAc (V),VAtot (V)
2023-03-09 12:30:00,5.839058439,5.919119024,5.906073124,2.111066096,0,1.881917207,3.994357452,0,0,0,0
2023-03-09 12:45:00,5.640198138,5.709792417,5.702216962,2.034860454,0,1.814314157,3.849091536,0,0,0,0
2023-03-09 13:00:00,5.863685537,5.937327655,5.927441478,2.111780805,0,1.884764615,3.997503561,0,0,0,0
2023-03-09 13:15:00,5.680706408,5.752410726,5.74458187,2.044866576,0,1.821767662,3.865832461,0,0,0,0
2023-03-09 13:30:00,5.39984291,5.468939253,5.461463138,1.948280186,0,1.727085817,3.675687739,0,0,0,0
2023-03-09 13:45:00,4.131129527,4.188718174,4.184214064,1.50126782,0,1.306893228,2.807675989,0,0,0,0
2023-03-09 14:00:00,3.542238095,3.588067383,3.587046533,1.29108455,0,1.10926248,2.400678131,0,0,0,0
2023-03-09 14:15:00,2.234836096,2.272244306,2.272247307,0.830049119,0,0.678878934,1.509111131,0,0,0,0
2023-03-09 14:30:00,2.36102623,2.397741205,2.397908227,0.875701068,0,0.721292431,1.597197771,0,0,0,0
2023-03-09 14:45:00,2.002664911,2.037182847,2.038438792,0.750220606,0,0.602910664,1.353305264,0,0,0,0
2023-03-09 15:00:00,1.463304691,1.48909193,1.491201867,0.555780143,0,0.422443848,0.978105777,0,0,0,0
2023-03-09 15:15:00,1.87444226,1.907159029,1.906331611,0.703881369,0,0.55971767,1.263495366,0,0,0,0
2023-03-09 15:30:00,2.455126693,2.494867642,2.494654692,0.91225344,0,0.754055442,1.666260593,0,0,0,0
2023-03-09 15:45:00,1.253314624,1.277026931,1.278092163,0.4814752,0,0.352916834,0.834436805,0,0,0,0
2023-03-09 16:00:00,1.010032107,1.023831378,1.028953251,0.391338593,0,0.269732058,0.660781878,0,0,0,0
2023-03-09 16:15:00,1.333379845,1.357796763,1.358924044,0.511225816,0,0.379501783,0.89081252,0,0,0,0
2023-03-09 16:30:00,1.04110516,1.058480558,1.062610822,0.405763529,0,0.280222585,0.686063309,0,0,0,0
2023-03-09 16:45:00,0.857923537,0.868752944,0.874392138,0.333363803,0,0.216292312,0.54974418,0,0,0,0
2023-03-09 17:00:00,0.655284004,0.660607795,0.667588157,0.255916886,0,0.145077489,0.401084608,0,0,0,0
2023-03-09 17:15:00,0.508760932,0.513820441,0.519302899,0.194785325,0,0.091571214,0.286517486,0,0,0,0
2023-03-09 17:30:00,0.380731523,0.379318586,0.383468401,0.132338587,0,0.040954709,0.171390799,0,0,0,0
2023-03-09 17:45:00,0.311139332,0.294744458,0.258189219,0.081496174,0,0.022188669,0.079154029,0,0,0,0
2023-03-09 18:00:00,0.338992607,0.2710005,0.230318381,0.040310924,0,0.044503534,0.042426852,0,0,0,0
2023-03-09 18:15:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 18:30:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 18:45:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 19:00:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
